Titulo,Autor,Link,Fecha,Respuestas,Imagen
who want to pley ,Ch0rba,https://gamehag.com/forum/t/459453-who-want-to-pley-,1 year ago,2,https://gamehag.com/img/rank/2.png
old map in game,carsonknight95,https://gamehag.com/forum/t/440353-old-map-in-game,2 years ago,13,https://gamehag.com/img/rank/1.png
"Comments, reviews and ratings of the game F: Battle Royale",DikorN,https://gamehag.com/games/fortnite/comments,6 days ago,1089,https://gamehag.com/img/rank/1.png
fortnite is really fun,alikoter,https://gamehag.com/forum/t/456572-fortnite-is-really-fun,1 year ago,2,https://gamehag.com/img/rank/1.png
How toxic is the game?,demoknightmandudeguyladfellowboi,https://gamehag.com/forum/t/445813-how-toxic-is-the-game,1 year ago,10,https://gamehag.com/img/rank/1.png
fornite ... A nice game,ss95,https://gamehag.com/forum/t/431897-fornite--a-nice-game,2 years ago,6,https://gamehag.com/img/rank/1.png
"Comments, reviews and ratings of the game - FORNITE",Ven0M_Slo,https://gamehag.com/forum/t/449441-comments-reviews-and-ratings-of-the-game---fornite,1 year ago,7,https://gamehag.com/img/rank/2.png
any good horror games?,misha10000,https://gamehag.com/forum/t/449660-any-good-horror-games,1 year ago,3,https://gamehag.com/img/rank/3.png
Fortnite season 3 the fail season ,aleksss06,https://gamehag.com/forum/t/448993-fortnite-season-3-the-fail-season-,2 years ago,7,https://gamehag.com/img/rank/3.png
best vpn for game,Aitjaggillarost,https://gamehag.com/forum/t/287475-best-vpn-for-game,2 years ago,11,https://gamehag.com/img/rank/3.png
What is the best weapon in the game.,erdem8976859248,https://gamehag.com/forum/t/447638-what-is-the-best-weapon-in-the-game1,2 years ago,2,https://gamehag.com/img/rank/2.png
what's the best event about you in fortnite battle royal,asobeeg12,https://gamehag.com/forum/t/448942-whats-the-best-event-about-you-in-fortnite-battle-royal,2 years ago,1,https://gamehag.com/img/rank/2.png
was it right for fortnite to go against apple and get deleted off of the app store,eroyluss,https://gamehag.com/forum/t/448567-was-it-right-for-fortnite-to-go-against-apple-and-get-deleted-off-of-the-app-store,2 years ago,2,https://gamehag.com/img/rank/1.png
My cooment me Fortnite,ottoka,https://gamehag.com/forum/t/445838-my-cooment-me-fortnite,2 years ago,3,https://gamehag.com/img/rank/1.png
What platform do you have to playing Fortnite?,loliez,https://gamehag.com/forum/t/446363-what-platform-do-you-have-to-playing-fortnite,2 years ago,5,https://gamehag.com/img/rank/1.png
still playing this game?,loliez,https://gamehag.com/forum/t/447993-still-playing-this-game,2 years ago,1,https://gamehag.com/img/rank/1.png
Opinions of Fortnite?,hamzaali1234,https://gamehag.com/forum/t/432860-opinions-of-fortnite,2 years ago,21,https://gamehag.com/img/rank/2.png
fortnite very good wonderful game,benmo,https://gamehag.com/forum/t/446411-fortnite-very-good-wonderful-game,2 years ago,1,https://gamehag.com/img/rank/2.png
You like Fortnite or PUBG???,Deadshot4pros,https://gamehag.com/forum/t/446302-you-like-fortnite-or-pubg1,2 years ago,1,https://gamehag.com/img/rank/2.png
Don’t be mean I have bully on for ight ,Thebasketballgodxx,https://gamehag.com/forum/t/445721-dont-be-mean-i-have-bully-on-for-ight-,2 years ago,1,https://gamehag.com/img/rank/2.png
Roblox is better for naught is bag ,Thebasketballgodxx,https://gamehag.com/forum/t/445720-roblox-is-better-for-naught-is-bag-,2 years ago,1,https://gamehag.com/img/rank/2.png
map so bad,squardex0,https://gamehag.com/forum/t/445556-map-so-bad,2 years ago,1,https://gamehag.com/img/rank/2.png
fortnite level,OliverLlama,https://gamehag.com/forum/t/37832-fortnite-level,2 years ago,38,https://gamehag.com/img/rank/2.png
"Comments, reviews and ratings of the game F: Battle Royale",DikorN,https://gamehag.com/games/fortnite/comments,6 days ago,1089,https://gamehag.com/img/rank/1.png
"WHO LOVE FORTINET SAY ""Fort"" IN CHAT DOWN BELOW",emirhan_demir11,https://gamehag.com/forum/t/442822-who-love-fortinet-say-fort-in-chat-down-below,2 years ago,7,https://gamehag.com/img/rank/1.png
Which Skin is your favorite?,OliverLlama,https://gamehag.com/forum/t/443367-which-skin-is-your-favorite,2 years ago,6,https://gamehag.com/img/rank/2.png
who likes this season?,OliverLlama,https://gamehag.com/forum/t/441856-who-likes-this-season,2 years ago,3,https://gamehag.com/img/rank/2.png
What is the most kills you have had in one game ,KingDilly,https://gamehag.com/forum/t/428348-what-is-the-most-kills-you-have-had-in-one-game-,2 years ago,16,https://gamehag.com/img/rank/2.png
fortnite game modes,Ahhghs,https://gamehag.com/forum/t/443431-fortnite-game-modes,2 years ago,1,https://gamehag.com/img/rank/3.png
Fortnite Season 5 Stutter and Lag fixed for Intel HD graphics,vlad165,https://gamehag.com/forum/t/430213-fortnite-season-5-stutter-and-lag-fixed-for-intel-hd-graphics,2 years ago,3,https://gamehag.com/img/rank/2.png
Geo881 pro,AEKZIS200,https://gamehag.com/forum/t/438316-geo881-pro12,2 years ago,4,https://gamehag.com/img/rank/2.png
Roblox how many robux ,SenyWorld,https://gamehag.com/forum/t/439190-roblox-how-many-robux-,2 years ago,8,https://gamehag.com/img/rank/1.png
Is anyone still playing this game?,elge05,https://gamehag.com/forum/t/431596-is-anyone-still-playing-this-game,2 years ago,10,https://gamehag.com/img/rank/2.png
Fortnite is taking over the world,[email protected],https://gamehag.com/forum/t/440062-fortnite-is-taking-over-the-world,2 years ago,1,https://gamehag.com/img/rank/2.png
What do you think About when seeing the new map,happyist,https://gamehag.com/forum/t/431022-what-do-you-think-about-when-seeing-the-new-map,2 years ago,6,https://gamehag.com/img/rank/2.png
antegeia21,Geo881,https://gamehag.com/forum/t/438686-antegeia21,2 years ago,5,https://gamehag.com/img/rank/2.png
Is Galactus Gonna Eat Us?,Arin07,https://gamehag.com/forum/t/425954-is-galactus-gonna-eat-us,2 years ago,5,https://gamehag.com/img/rank/1.png
jack 23master,AEKZIS200,https://gamehag.com/forum/t/438315-jack-23master,2 years ago,1,https://gamehag.com/img/rank/2.png
Does anyone have a friend code for save the world? :) hmu,BARTGAMING,https://gamehag.com/forum/t/38587-does-anyone-have-a-friend-code-for-save-the-world--hmu,4 years ago,5,https://gamehag.com/img/rank/3.png
give me vbucks for good bucks,TheNextDays,https://gamehag.com/forum/t/438099-give-me-vbucks-for-good-bucks,2 years ago,2,https://gamehag.com/img/rank/2.png
why os fotnite famous,ludvigkj,https://gamehag.com/forum/t/429011-why-os-fotnite-famous,2 years ago,3,https://gamehag.com/img/rank/2.png
I don't like fortnite,pekton1,https://gamehag.com/forum/t/433472-i-dont-like-fortnite1,2 years ago,2,https://gamehag.com/img/rank/2.png
this game is....,DevixOpaque,https://gamehag.com/forum/t/434513-this-game-is4,2 years ago,1,https://gamehag.com/img/rank/2.png
Fortnite became less played game ,ZeeshanBobBob,https://gamehag.com/forum/t/432666-fortnite-became-less-played-game-,2 years ago,10,https://gamehag.com/img/rank/1.png
"Comments, reviews and ratings of the game F: Battle Royale",DikorN,https://gamehag.com/games/fortnite/comments,6 days ago,1089,https://gamehag.com/img/rank/1.png
I hate fort,iRuzzo,https://gamehag.com/forum/t/433037-i-hate-fort,2 years ago,3,https://gamehag.com/img/rank/2.png
Best esports player in fortnite? New Thread Follow,Lidor113,https://gamehag.com/forum/t/431750-best-esports-player-in-fortnite-new-thread-follow,2 years ago,2,https://gamehag.com/img/rank/1.png
Red knight is back in the shop!,BARTGAMING,https://gamehag.com/forum/t/38498-red-knight-is-back-in-the-shop,4 years ago,6,https://gamehag.com/img/rank/3.png
